무인교통단속카메라관리번호,시도명,시군명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
H3513,경기도,고양시,일반국도,39,호국로,01,,경기도 고양시 덕양구 원당동 산 29-4,37.67558449,126.8560696,낙타고개삼거리(고양→의정부),02,60,99,2020,경기도북부경찰청,031-961-3853,2023-11-01
H3516,경기도,고양시,시도,,호수로,01,경기도 고양시 덕양구 호수로 112,경기도 고양시 덕양구 토당동 654-23,37.62328438,126.8052586,삼성당마을앞교차로(능곡→백석),02,60,99,2020,경기도북부경찰청,031-961-3853,2023-11-01
H3544,경기도,고양시,시도,,강촌로,02,경기도 고양시 일산동구 강석로 110,경기도 고양시 일산동구 마두동 789,37.65122626,126.7808325,금계초교 건너편(백마역→마두역),02,30,99,2022,경기도북부경찰청,031-961-3853,2023-11-01
H3547,경기도,고양시,시도,,후곡로,01,경기도 고양시 일산서구 후곡로 52,경기도 고양시 일산서구 일산동 1068,37.68162503,126.7661082,신촌초교(주엽역→일산역),02,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
P-5104,경기도,고양시,시도,,호국로,3,경기도 고양시 덕양구 호국로789번길 6,경기도 고양시 덕양구 주교동 615-6,37.6569478,126.8360807,덕양구 호국로 789번길 6(주교우체국 앞),4,0,,2007,경기도 고양시,031-8075-2578,2023-09-22
P-5108,경기도,고양시,시도,,마상로,3,,경기도 고양시 덕양구 주교동 142-4,37.65702436,126.8339188,덕양구 주교동 142-4 GS25시 편의점 앞,4,0,,2020,경기도 고양시,031-8075-2578,2023-09-22
P-5203,경기도,고양시,시도,,신원로,3,,경기도 고양시 덕양구 신원동 674,37.66519238,126.8870232,신원동 674 (힐스테이트6단지 주변),4,0,,2016,경기도 고양시,031-8075-2578,2023-09-22
P-5F15,경기도,고양시,시도,,충경로,3,,경기도 고양시 덕양구 행신동 835,37.61547623,126.831772,덕양구 충경로 30(행신2동 주차장 옆 무원사거리),4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-5F18,경기도,고양시,시도,,충장로,3,경기도 고양시 덕양구 충장로123번길 37,경기도 고양시 덕양구 행신동 1005,37.62414406,126.8312671,덕양구 충장로 123번길 37  (신능초교),4,0,,2012,경기도 고양시,031-8075-2578,2023-09-22
P-5F23,경기도,고양시,시도,,중앙로,3,경기도 고양시 덕양구 중앙로558번길 13,경기도 고양시 덕양구 행신동 945-1,37.6243429,126.8358167,행신동 945-1 행신동 맑은하루이비인후과 맞은편,4,0,,2018,경기도 고양시,031-8075-2578,2023-09-22
P-5905,경기도,고양시,시도,,읍내로,3,경기도 고양시 덕양구 읍내로 11,경기도 고양시 덕양구 고양동 244-8,37.700421,126.9017312,덕양구 읍내로 13 (정다운마트 앞),4,0,,2009,경기도 고양시,031-8075-2578,2023-09-22
P-5909,경기도,고양시,시도,,푸른마을로,3,,경기도 고양시 덕양구 고양동 713,37.7107294,126.904777,고양동 706(고양동성당 사거리),4,0,,2015,경기도 고양시,031-8075-2578,2023-09-22
P-5A01,경기도,고양시,시도,,통일로,3,경기도 고양시 덕양구 통일로 776-3,경기도 고양시 덕양구 관산동 231-1,37.6882542,126.8642099,덕양구 통일로 776-3(관산파출소 앞),4,0,,2007,경기도 고양시,031-8075-2578,2023-09-22
P-5C02,경기도,고양시,시도,,화신로,3,,경기도 고양시 덕양구 화정동948,37.63156883,126.8267438,덕양구 화신로 309 (화정동) 별빛9단지 앞,4,0,,2010,경기도 고양시,031-8075-2578,2023-09-22
P-5C05,경기도,고양시,시도,,은빛로,3,경기도 고양시 덕양구 은빛로17번길 53,경기도 고양시 덕양구 화정동 918,37.64051723,126.8296499,덕양구 은빛로17번길 53 (화정동)  용정초등학교,4,0,,2011,경기도 고양시,031-8075-2578,2023-09-22
P-5C14,경기도,고양시,시도,,화중로,3,,경기도 고양시 덕양구 화정동 952,37.63150598,126.8288031,덕양구 화중로 38(현대주유소앞 별빛마을8단지,4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
H3415,경기도,과천시,지방도,309,과천대로,03,,경기도 과천시 문원동 391,37.4209427,126.9934458,과천대로(의왕→서울),01,60,99,2022,경기도남부경찰청,031-888-3652,2023-11-01
F7511,경기도,과천시,일반국도,47번,중앙로,02,,경기도 과천시 중앙동 43,37.420835,126.988703,우정병원 삼거리(정부과천청사→안양),02,50,,2014,경기남부지방경찰청,031-888-3952,2023-07-03
F8307,경기도,과천시,일반국도,47번,중앙로,01,경기도 과천시 중앙로 408(과천동),경기도 과천시 과천동 347-10,37.449593,126.999503,과천농협 선바위지점 앞(과천청사→양재IC),02,50,,2015,경기남부지방경찰청,031-888-3952,2023-07-03
H7361,경기도,과천시,시도,,코오롱로,03,경기도 과천시 코오롱로 53,경기도 과천시 별양동 16,37.423088,126.994472,문원초등학교정문앞(과천IC→우체국사거리),02,30,02,2023,경기도남부경찰청,031-888-3652,2023-11-01
H7364,경기도,과천시,시도,,중앙로,03,,경기도 과천시 중앙동 88-2,37.43896,126.99457,과천성당 맞은편(도서관삼거리→관문사거리),02,50,99,2023,경기도남부경찰청,031-888-3652,2023-11-01
H8814,경기도,과천시,시도,,중앙로,03,,경기도 과천시 별양동 1-15,37.427838,126.9912763,소방서삼거리(인덕원역→과천역),02,50,99,2023,경기도남부경찰청,031-888-3652,2023-11-01
H8815,경기도,과천시,시도,,중앙로,03,,경기도 과천시 중앙동 60,37.432081,126.995005,과천역 7번출구앞(도서관삼거→정부과천청사역),02,50,99,2023,경기도남부경찰청,031-888-3652,2023-11-01
H8775,경기도,과천시,시도,,별양로,03,경기도 과천시 별양로 66-11,경기도 과천시 별양동 17,37.424427,126.99482,문원초교후문앞(문원중학교→별양동주민센터),01,30,02,2023,경기도남부경찰청,031-888-3652,2023-11-01
H3414,경기도,과천시,지방도,309,과천대로,03,,경기도 과천시 문원동 391,37.4209427,126.9934458,과천대로(서울→의왕),01,60,99,2022,경기도남부경찰청,031-888-3652,2023-11-01
H8881,경기도,과천시,일반국도,47,양재대로,03,,경기도 과천시 주암동 13-9,37.460233,127.031809,주암체육공원앞 1/2차로(양재IC→선암IC),02,50,99,2023,경기도남부경찰청,031-888-3652,2023-11-01
H8882,경기도,과천시,일반국도,47,양재대로,03,,경기도 과천시 주암동 13-9,37.460233,127.031809,주암체육공원앞 3/4차로(양재IC→선암IC),02,50,99,2023,경기도남부경찰청,031-888-3652,2023-11-01
F5577,경기도,과천시,지방도,309번,중앙로,01,,경기도 과천시 중앙동 93,37.435763,126.995373,과천초교앞사거리 어린이보호구역(과천시청-&amp;gt;부림동),02,30,02,2010,경기남부지방경찰청,031-888-3952,2023-07-03
F6108,경기도,과천시,일반국도,47번,과천대로,01,,경기도 과천시 갈현동 319-4,37.411783,126.980757,과천시자원정화센터 입구(인덕원역-&amp;gt;과천시청),02,60,,2011,경기남부지방경찰청,031-888-3952,2023-07-03
F6325,경기도,과천시,지방도,309번,중앙로,01,,경기도 과천시 과천동 516-1,37.448461,126.994686,양지마을입구(서울대공원-&amp;gt;사당),02,60,,2011,경기남부지방경찰청,031-888-3952,2023-07-03
F6643,경기도,과천시,지방도,309번,과천대로,02,,경기도 과천시 과천동 513-66,37.448093,126.994394,용마골입구(사당-&amp;gt;서울대공원),02,60,,2011,경기남부지방경찰청,031-888-3952,2023-07-03
F7510,경기도,과천시,지방도,309번,코오롱로,01,경기도 과천시 코오롱로 53(별양동),경기도 과천시 별양동 16,37.424017,126.995005,문원초교 건너편 어린이보호구역(과천우체국-&amp;gt;과천IC),02,30,02,2014,경기남부지방경찰청,031-888-3952,2023-07-03
F9866,경기도,과천시,시도,,과천대로,03,,경기도 과천시 과천동 501-4,37.4512587,126.9930251,공병부대앞(사당→과천),01,60,99,2017,경기도남부경찰청,031-888-3652,2023-11-01
G1148,경기도,과천시,일반국도,47,과천대로,03,,경기도 과천시 문원동 33-3,37.4289587,127.0009724,과천시장애인복지관 맞은편(과천-봉담간고속화도로)(국립과천과학관→과천IC),01,70,99,2018,경기도남부경찰청,031-888-3652,2023-11-01
H7362,경기도,과천시,시도,,별양로,03,,경기도 과천시 별양동 2,37.433574,126.997725,부림어린이집 맞은편(도서관삼거리→과천고등학교),02,30,02,2023,경기도남부경찰청,031-888-3652,2023-11-01
H7363,경기도,과천시,시도,,별양로,03,경기도 과천시 별양로 182,경기도 과천시 부림동 44,37.433947,126.997816,부림어린이집앞(과천고등학교→도서관삼거리),02,30,02,2023,경기도남부경찰청,031-888-3652,2023-11-01
H7337,경기도,과천시,시도,,아랫배랭이로,03,,경기도 과천시 문원동 26,37.427525,127.002003,예지유치원앞(장애인복지관→문원동주민센터),01,30,02,2023,경기도남부경찰청,031-888-3652,2023-11-01
H0686,경기도,과천시,일반국도,47,과천대로,03,,경기도 과천시 문원동 산4-6,37.43074415,127.0019014,상아벌지하차도 322 상아벌지하차도 450m 지점(의왕→서울)2차로,01,60,99,2021,경기도남부경찰청,031-888-3652,2023-11-01
H0687,경기도,과천시,일반국도,47,과천대로,03,,경기도 과천시 문원동 산4-6,37.43074415,127.0019014,상아벌지하차도 323 상아벌지하차도 450m 지점(의왕→서울)5차로,01,60,99,2021,경기도남부경찰청,031-888-3652,2023-11-01
H7608,경기도,과천시,시도,,과천대로,03,,경기도 과천시 과천동 513-66,37.448135,126.994453,용마골입구(사당→서울대공원),02,60,99,2023,경기도남부경찰청,031-888-3652,2023-11-01
H7609,경기도,과천시,시도,,과천대로,03,,경기도 과천시 과천동 516-1,37.448476,126.994635,양지마을입구(서울대공원→사당),02,60,99,2023,경기도남부경찰청,031-888-3652,2023-11-01
H7610,경기도,과천시,일반국도,47,중앙로,03,경기도 과천시 뒷골로 4,경기도 과천시 과천동 358-4번지,37.452423,127.001408,선암사거리(양재→과천),02,50,99,2023,경기도남부경찰청,031-888-3652,2023-11-01
F7512,경기도,과천시,지방도,309번,중앙로,02,경기도 과천시 중앙로 275(중앙동),경기도 과천시 중앙동 78,37.439032,126.993867,과천성당 앞(양재→과천종합청사),02,50,,2014,경기남부지방경찰청,031-888-3952,2023-07-03
F8037,경기도,과천시,지방도,309번,중앙로,02,,경기도 과천시 원문동 2-2,37.423837,126.989386,교육원삼거리(인덕원역-&amp;gt;과천역),02,50,,2014,경기남부지방경찰청,031-888-3952,2023-07-03
F8987,경기도,과천시,일반국도,47번,과천대로,02,,경기도 과천시 갈현동 319-10,37.411412,126.980261,통신부대사거리(과천시청→인덕원역),02,60,,2016,경기남부지방경찰청,031-888-3952,2023-07-03
F8988,경기도,과천시,지방도,309번,과천대로,02,,경기도 과천시 과천동 산106-6,37.450655,126.993095,공병부대 앞(사당→서울대공원),02,60,,2016,경기남부지방경찰청,031-888-3952,2023-07-03
F9866,경기도,과천시,지방도,309번,과천대로,02,,경기도 과천시 과천동 501-4,37.451475,126.992753,공병부대앞(사당→과천),01,60,,2017,경기남부지방경찰청,031-888-3952,2023-07-03
G8035,경기도,과천시,지방도,309번,별양로,02,,경기도 과천시 별양동 86-3,37.428599,126.996997,과천고교 앞 삼거리 어린이보호구역(청계초교)(과천성당→과천우체국),02,30,02,2021,경기남부지방경찰청,031-888-3952,2023-07-03
F8973,경기도,과천시,지방도,309,우면산로,03,,경기도 과천시 주암동 555,37.4532485,127.0155822,과천-봉담간고속화도로(국립과천과학관→선암IC),01,80,99,2016,경기도남부경찰청,031-888-3652,2023-11-01
F8987,경기도,과천시,일반국도,47,과천대로,03,,경기도 과천시 갈현동 324-5,37.41154353,126.9803369,푸르지오어울림라비엔오아파트 406동앞교차로(과천시청→인덕원역),02,60,99,2016,경기도남부경찰청,031-888-3652,2023-11-01
F8988,경기도,과천시,시도,,과천대로,03,,경기도 과천시 과천동 산106-6,37.4508111,126.9930313,공병부대앞(사당→서울대공원),02,60,99,2016,경기도남부경찰청,031-888-3652,2023-11-01
G8035,경기도,과천시,시도,,별양로,03,,경기도 과천시 별양동 86-3,37.4293274,126.997446,과천고교앞삼거리(청계초교)(과천성당→과천우체국),02,30,02,2021,경기도남부경찰청,031-888-3652,2023-11-01
G2300,경기도,과천시,지방도,309,우면산로,03,,경기도 과천시 과천동 94,37.45128894,127.0101117,과천-봉담간고속화도로(선암IC→과천IC),01,80,99,2018,경기도남부경찰청,031-888-3652,2023-11-01
지민16,경기도,광명시,시도,,광명로,03,경기도 광명시 광명로 917,경기도 광명시 광명동 158-91,37.480800,126.854798,광명로 917,04,0,,2009,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민19,경기도,광명시,시도,,광명로,03,경기도 광명시 광명로 969,경기도 광명시 광명동 51-1,37.4852210160,126.8562916755,개봉교사거리,04,0,,2009,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
17,경기도,광명시,시도,,덕안로,02,경기도 광명시 성채로 4,경기도 광명시 소하동   1376,37.4323187732,126.8861502832,충현초교삼거리,01+02,50,,2013,경기도 광명시청 도시교통과,02-2680-2585,2022-09-23
20,경기도,광명시,시도,,오리로,01,경기도 광명시 광덕산로 5,경기도 광명시 철산동 637,37.4703880962,126.8691913701,제일은행삼거리,01+02,50,02,2014,경기도 광명시청 도시교통과,02-2680-2585,2022-09-23
지민60,경기도,광명시,시도,,하안로,03,경기도 광명시 하안로 108,경기도 광명시 소하동 1365,37.4477711420,126.8921926513,에이스타워,04,0,,2015,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민63,경기도,광명시,시도,,시청로,03,경기도 광명시 시청로 30,경기도 광명시 철산동 225,37.4794197459,126.8641016750,시청후문,04,0,,2016,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
32,경기도,광명시,시도,,범안로,02,경기도 광명시 범안로 986,경기도 광명시 하안동 301-1,37.45880966,126.8739248999,램파트호텔 앞,01,60,,2018,경기도 광명시청 도시교통과,02-2680-2585,2022-09-23
36,경기도,광명시,시도,,오리로,02,,경기도 광명시 일직동   241-18,37.4177196425,126.8795362621,호봉골입구사거리,01+02,50,,2019,경기도 광명시청 도시교통과,02-2680-2585,2022-09-23
지민1-1,경기도,광명시,시도,,도덕로,03,경기도 광명시 도덕로 79,경기도 광명시 광명동 717-3,37.47040117,126.8564722,7동 버스회차지역,04,0,,2006,경기도 광명시청 도시교통과,02-2680-2665,2022-09-23
G8724,경기도,광명시,시도,,철산로,03,경기도 광명시 철산로 62,경기도 광명시 철산동 449-2번지,37.4773975,126.8728178,광성초교사거리(철산역→광성초교입구사거리),02,30,02,2021,경기도남부경찰청,031-888-3652,2023-11-01
F8180,경기도,광명시,고속국도,2,제2경인고속도로,03,,경기도 광명시 소하동 1053-48,37.42693544,126.8828502,제2경인고속도로 23.3km(광명IC→일직JC),01,100,99,2015,인천광역시경찰청,032-866-6114,2023-11-01
26,경기도,광명시,시도,,오리로,01,,경기도 광명시 일직동   228-1,37.4184747791,126.8798939310,태영데시앙 104동 앞,01+02,50,,2016,경기도 광명시청 도시교통과,02-2680-2585,2022-09-23
23,경기도,광명시,시도,,안양천로,02,,경기도 광명시 하안동   710-1,37.4662804427,126.8827297342,하안배수펌프장삼거리,01+02,60,,2015,경기도 광명시청 도시교통과,02-2680-2585,2022-09-23
24,경기도,광명시,시도,,금오로,02,경기도 광명시 금오로 675,경기도 광명시 옥길동 350-4,37.4611085691,126.8315354605,칠성슈퍼 앞,01+02,60,,,경기도 광명시청 도시교통과,02-2680-2585,2022-09-23
25,경기도,광명시,시도,,오리로,02,,경기도 광명시 소하동   1055-2,37.4296958665,126.8809599757,광휘고교 건너편 70동마을삼거리,01+02,50,,2015,경기도 광명시청 도시교통과,02-2680-2585,2022-09-23
H7692,경기도,광명시,시도,,오리로,03,,경기도 광명시 소하동,37.448697,126.881595,가리대사거리(소하사거리→하안우체국앞사거리),02,50,99,2023,경기도남부경찰청,031-888-3652,2023-11-01
H7693,경기도,광명시,시도,,하안로,03,,경기도 광명시 소하동,37.450734,126.889413,신촌사거리(소하지하차도→아파트형공장앞사거리),02,50,99,2023,경기도남부경찰청,031-888-3652,2023-11-01
H2194,경기도,광명시,시도,,시청로,03,경기도 광명시 시청로 140,경기도 광명시 철산동 62-3번지,37.48762597,126.8684983,광명북초교사거리(광명국민체육센터→우성아파트입구삼거리),02,30,02,2022,경기도남부경찰청,031-888-3652,2023-11-01
H3666,경기도,광명시,시도,,기마산로,03,경기도 광명시 가마산로 237,,37.484464,126.869531,도덕초교사거리(철산2동행정복지센터→구로IC),02,50,99,2022,경기도남부경찰청,031-888-3652,2023-11-01
지민40,경기도,광명시,시도,,범안로,03,경기도 광명시 안재로2번길 23,경기도 광명시 하안동 606-18,37.4599952973,126.8744247594,단독필지,04,0,,2012,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민41,경기도,광명시,시도,,광명로,03,,경기도 광명시 광명동   762,37.4686400082,126.8481781530,광남사거리,04,0,,2012,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민42,경기도,광명시,시도,,광명로,03,경기도 광명시 광명로 856,경기도 광명시 광명동 295-20,37.4754894958,126.8528518065,광생주유소,04,0,,2012,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민43,경기도,광명시,시도,,철망산로,03,경기도 광명시 철망산로 84,경기도 광명시 하안동 23-1,37.4695027921,126.8767614072,하안동 진성고 사거리 주변,04,0,,2012,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민44,경기도,광명시,시도,,철산로,03,경기도 광명시 철산로 27-2,경기도 광명시 철산동 526,37.4766541803,126.8692031732,철산동 중앙로 사거리 주변,04,0,,2013,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민12,경기도,광명시,시도,,오리로,03,경기도 광명시 광명로 898,경기도 광명시 광명동 158-513,37.4790549789,126.8546075020,광명동 광명사거리 주변,04,0,,2008,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민13,경기도,광명시,시도,,광명로,03,경기도 광명시 광명로 830,경기도 광명시 광명동 342-7,37.47330291,126.8518254,광명동 새마을시장 삼거리 주변,04,0,,2008,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민14,경기도,광명시,시도,,오리로,03,경기도 광명시 오리로 940,경기도 광명시 광명동 126-19,37.4783733609,126.8586879166,와세다빌딩,04,0,,2008,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민15,경기도,광명시,시도,,모세로,03,,경기도 광명시 철산동   468-1,37.4826017263,126.8658040165,모세로삼거리,04,0,,2009,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민17,경기도,광명시,시도,,광명로,03,경기도 광명시 광명로 927,경기도 광명시 광명동 142-1,37.4816870501,126.8551581014,몽트리 광명점,04,0,,2009,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민18,경기도,광명시,시도,,광명로,03,경기도 광명시 광명로 944,경기도 광명시 광명동 92-7,37.4829853385,126.8563601778,우체국,04,0,,2009,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민58,경기도,광명시,시도,,안양천로,03,,경기도 광명시 철산동   460,37.4825490339,126.8717800310,철산동우성A삼거리 주변,04,0,,2015,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민59,경기도,광명시,시도,,도덕공원로,03,경기도 광명시 도덕공원로 76,경기도 광명시 철산동 473-3,37.4755267921,126.8642108109,덕수빌라,04,0,,2015,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민61,경기도,광명시,시도,,도덕로,03,경기도 광명시 도덕로 40,경기도 광명시 광명동 725,37.4684278843,126.8522432402,광문초교사거리,04,0,,2016,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민62,경기도,광명시,시도,,광명로,03,경기도 광명시 광명로 822,경기도 광명시 광명동 339-15,37.4725811456,126.8514259789,6동삼거리,04,0,,2016,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민64,경기도,광명시,시도,,서독로,03,,경기도 광명시 가학동   1075-22,37.4224554416,126.8622747559,뒷골삼거리,04,0,,2016,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민65,경기도,광명시,시도,,오리로,03,경기도 광명시 오리로 345,경기도 광명시 소하동 1074-11,37.4333639046,126.8789639,소하공영주차장사거리,04,0,,2016,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민66,경기도,광명시,시도,,오리로,03,,경기도 광명시 하안동   864-10,37.4693448046,126.8686764260,제일은행,04,0,,2017,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민67,경기도,광명시,시도,,디지털로,03,경기도 광명시 디지털로 25,경기도 광명시 철산동 446,37.4740860496,126.8701982,철산푸르지오 삼거리 주변,04,0,,2017,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민68,경기도,광명시,시도,,모세로,03,경기도 광명시 모세로 54,경기도 광명시 철산동 240-3,37.4810946771,126.8708920275,철산3동우체국,04,0,,2017,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민69,경기도,광명시,시도,,철망산로,03,,경기도 광명시 철산동   634-7,37.4688738336,126.8744914815,하안도서관,04,0,,2017,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민70,경기도,광명시,시도,,성채로,03,경기도 광명시 성채로78번길 7,경기도 광명시 소하동 1385,37.4323018279,126.8770824072,소하육아종합센터 주변,04,0,,2017,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민71,경기도,광명시,시도,,소하일로,03,경기도 광명시 소하일로 7,경기도 광명시 소하동 1331,37.4454588390,126.8879927712,소하도서관,04,0,,2017,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민73,경기도,광명시,시도,,덕안로,03,,경기도 광명시 일직동   544,37.4186912476,126.8836535295,대우아파트사거리주변,04,0,,2018,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민74,경기도,광명시,시도,,양지로,03,경기도 광명시 양지로 16,경기도 광명시 일직동 513,37.4171185643,126.8808229770,호반정문입구,04,0,,2018,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
F8179,경기도,광명시,고속국도,1,제2경인고속도로,03,,경기도 광명시 소하동 산 137-7,37.42923853,126.8772148,제2경인고속도로 22.9km(일직JC→광명IC),01,100,99,2015,인천광역시경찰청,032-866-6114,2023-11-01
지민50,경기도,광명시,시도,,오리로,03,경기도 광명시 오리로 895,경기도 광명시 철산동 464-10,37.4765068254,126.8630446933,시청사거리,04,0,,2014,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민46,경기도,광명시,시도,,광명역로,03,경기도 광명시 광명역로 21,경기도 광명시 일직동 470-2,37.4163635638,126.8848771974,KTX 1번출구,04,0,,2013,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민48,경기도,광명시,시도,,광화로,03,경기도 광명시 광화로 16,경기도 광명시 광명동 348-20,37.47330181,126.8496070591,광화로16 앞 주변,04,0,,2014,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민49,경기도,광명시,시도,,하안로,03,경기도 광명시 하안로 287,경기도 광명시 하안동 52-7,37.4612681079,126.8804596271,기업은행,04,0,,2014,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민52,경기도,광명시,시도,,일직로,03,,경기도 광명시 일직동   530,37.4227563294,126.8833717309,이케아입구삼거리 주변,04,0,,2015,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민53,경기도,광명시,시도,,일직로,03,,경기도 광명시 일직동   544,37.4186912476,126.8836535295,롯데아울렛사거리 주변,04,0,,2015,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민54,경기도,광명시,시도,,일직로,03,경기도 광명시 일직로 43,경기도 광명시 일직동   514,37.4226903615,126.8870709747,코스트코건너,04,0,,2015,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
H3420,경기도,광명시,시도,,범안로,03,경기도 광명시 범안로 1049,경기도 광명시 하안동 34-5번지,37.4629217,126.8775425,하안사거리(독산역→광명우체국),02,50,99,2022,경기도남부경찰청,031-888-3652,2023-11-01
지민20,경기도,광명시,시도,,오리로,03,경기도 광명시 오리로 998-2,경기도 광명시 광명동 158-205,37.4802040686,126.8524540890,광명동 믿음부동산 주변,04,0,,2010,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민21,경기도,광명시,시도,,오리로,03,경기도 광명시 오리로 1027,경기도 광명시 광명동 185-8,37.4806933545,126.8492722851,신화공구,04,0,,2010,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민22,경기도,광명시,시도,,광복로,03,경기도 광명시 광복로 58,경기도 광명시 철산동 56-15,37.48944224,126.8650856916,광명동 광복시장 앞 주변,04,0,,2010,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민24,경기도,광명시,시도,,디지털로,03,경기도 광명시 디지털로 36,경기도 광명시 철산동 389-1,37.4736622838,126.8713323678,광명성애병원,04,0,,2010,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민51,경기도,광명시,시도,,광명역로,03,경기도 광명시 광명역로 21,경기도 광명시 일직동 470-2,37.4163635638,126.8848771974,KTX 2번출구,04,0,,2014,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민25,경기도,광명시,시도,,디지털로,03,경기도 광명시 디지털로 17,경기도 광명시 철산동 425,37.4740127796,126.8693643512,가림빌딩,04,0,,2010,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민26,경기도,광명시,시도,,오리로,03,경기도 광명시 오리로 358,경기도 광명시 소하동 1268-7,37.4343195841,126.8796425267,동부마을금고,04,0,,2010,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민27,경기도,광명시,시도,,오리로,03,경기도 광명시 오리로 506,경기도 광명시 소하동 1343,37.4472472819,126.8816346426,하이마트,04,0,,2011,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
G2301,경기도,광명시,지방도,3,범안로,03,경기도 광명시 범안로 988,경기도 광명시 하안동 301-5번지,37.45899,126.874122,단독필지사거리 지나 100m지점(광명IC→독산역),01,60,99,2018,경기도남부경찰청,031-888-3652,2023-11-01
지민72,경기도,광명시,시도,,광명역로,03,경기도 광명시 광명역로 26,경기도 광명시 일직동 518,37.4141165556,126.8853842136,광명파크자이사거리,04,0,,2017,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민9,경기도,광명시,시도,,범안로,03,경기도 광명시 범안로 1049,경기도 광명시 하안동 34-5,37.4627164673,126.8792912,하나은행,04,0,,2006,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민45,경기도,광명시,시도,,광명역로,03,경기도 광명시 광명역로 21,경기도 광명시 일직동 470-2,37.4163635638,126.8848771974,KTX 4번출구,04,0,,2013,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민23,경기도,광명시,시도,,철산로,03,경기도 광명시 철산로 16,경기도 광명시 철산동 270,37.4757058290,126.8680334846,대신증권,04,0,,2010,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
H2193,경기도,광명시,시도,,광명로,03,경기도 광명시 광명로 868,경기도 광명시 광명동 158-1428번지,37.4766571,126.8530403,광명남초교삼거리(광명스피돔→광명사거리역),02,50,02,2022,경기도남부경찰청,031-888-3652,2023-11-01
지민28-1,경기도,광명시,시도,,소하로,03,경기도 광명시 소하로109번길 13-8,경기도 광명시 소하동 1338-3,37.4472978853,126.8845151924,이마트주차장,04,0,,2011,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
지민32,경기도,광명시,시도,,오리로,03,경기도 광명시 오리로 916-1,경기도 광명시 광명동 33-66,37.4776016185,126.8612488394,광명대림모터사이클주변,04,0,,2011,경기도 광명시청 지도민원과,02-2680-2665,2022-09-23
